NIMONSPOLI_SAVE 2
GAME 13|55|4|2|7|0
TURN 1|0|0
TURN_ORDER 1,2,3,4
PLAYER 1|197|PAM|BANKRUPT|0|0|1|0|0
CARD 1|TeleportCard|0|0
CARD 1|MoveCard|3|0
CARD 1|TeleportCard|0|0
PLAYER 2|130|DEN|BANKRUPT|0|0|0|0|0
CARD 2|DemolitionCard|0|0
CARD 2|LassoCard|0|0
CARD 2|DemolitionCard|0|0
PLAYER 3|128|MTR|ACTIVE|0|0|1|0|0
CARD 3|ShieldCard|0|1
CARD 3|DiscountCard|50|1
CARD 3|MoveCard|3|0
PLAYER 4|1129|PEN|JAILED|0|0|1|0|0
CARD 4|DiscountCard|50|1
CARD 4|LassoCard|0|0
CARD 4|ShieldCard|0|1
PROPERTY GRT|street|BANK|BANK|1|0|0
PROPERTY TSK|street|BANK|BANK|1|0|0
PROPERTY GBR|railroad|4|OWNED|1|0|0
PROPERTY BGR|street|BANK|BANK|1|0|0
PROPERTY DPK|street|BANK|BANK|1|0|0
PROPERTY BKS|street|2|OWNED|1|0|0
PROPERTY MGL|street|BANK|BANK|1|0|0
PROPERTY PLN|utility|1|MORTGAGED|1|0|0
PROPERTY SOL|street|BANK|BANK|1|0|0
PROPERTY YOG|street|BANK|BANK|1|0|0
PROPERTY STB|railroad|BANK|BANK|1|0|0
PROPERTY MAL|street|BANK|BANK|1|0|0
PROPERTY SMG|street|BANK|BANK|1|0|0
PROPERTY SBY|street|BANK|BANK|1|0|0
PROPERTY MKS|street|4|OWNED|1|0|0
PROPERTY BLP|street|3|OWNED|1|0|0
PROPERTY MND|street|BANK|BANK|1|0|0
PROPERTY TUG|railroad|3|OWNED|1|0|0
PROPERTY PLB|street|4|OWNED|1|0|0
PROPERTY PKB|street|BANK|BANK|1|0|0
PROPERTY PAM|utility|1|OWNED|1|0|0
PROPERTY MED|street|4|OWNED|1|0|0
PROPERTY BDG|street|3|OWNED|1|0|1
PROPERTY DEN|street|3|OWNED|1|0|0
PROPERTY MTR|street|3|OWNED|1|0|0
PROPERTY GUB|railroad|BANK|BANK|1|0|0
PROPERTY JKT|street|4|OWNED|1|0|H
PROPERTY IKN|street|4|OWNED|1|0|H
DECK CHANCE|DRAW|ChanceCard:GO_TO_NEAREST_STATION,ChanceCard:MOVE_BACK_3
DECK CHANCE|DISCARD|ChanceCard:GO_TO_JAIL
DECK COMMUNITY|DRAW|CommunityChestCard:BIRTHDAY
DECK COMMUNITY|DISCARD|CommunityChestCard:DOCTOR_FEE,CommunityChestCard:CAMPAIGN_FEE
DECK SKILL|DRAW|
DECK SKILL|DISCARD|
END
